id,name,location,cuisine,avg_cost_for_two,rating,budget_band
bangalore-pantry::bannerghatta-road,Bangalore Pantry,bannerghatta road,"chinese, north indian, biryani, arabian",400.0,,low
pizza-palace::bommanahalli,Pizza Palace,bommanahalli,"pizza, fast food",300.0,,low
tarbouche::btm,Tarbouche,btm,"turkish, rolls",300.0,,low
omleterian::jp-nagar,Omleterian,jp nagar,"american, continental",200.0,,low
tandoor-chai-house::jp-nagar,Tandoor Chai House,jp nagar,"street food, sandwich, rolls, beverages",200.0,,low
appana-restaurant::btm,Appana Restaurant,btm,north indian,300.0,,low
bottle-genie::btm,Bottle Genie,btm,beverages,350.0,,low
innerchef::jp-nagar,Innerchef,jp nagar,"north indian, continental",500.0,,low
bombay-sandwich-company::jp-nagar,Bombay Sandwich Company,jp nagar,"sandwich, beverages",400.0,,low
kitchen24::btm,Kitchen24,btm,"italian, continental, chinese, thai, american, arabian",300.0,,low
healthie::jp-nagar,Healthie,jp nagar,"healthy food, beverages",600.0,,low
north-chinese-centre::bannerghatta-road,North Chinese Centre,bannerghatta road,"chinese, north indian",250.0,,low
m-aura-kitchen-cafe-more::bannerghatta-road,M-Aura Kitchen Cafe & More,bannerghatta road,north indian,400.0,,low
perch::btm,Perch,btm,italian,350.0,,low
world-in-a-bowl::jp-nagar,World In A Bowl,jp nagar,"continental, north indian, desserts, beverages",600.0,,low
kanti-bakes-flakes::bannerghatta-road,Kanti Bakes & Flakes,bannerghatta road,"desserts, mithai",300.0,,low
china-town-07::btm,China Town 07,btm,"chinese, momos",300.0,,low
the-little-kitchen::jp-nagar,The little Kitchen,jp nagar,"chinese, north indian",300.0,,low
city-cafe::jp-nagar,City Cafe,jp nagar,"beverages, juices, fast food, rolls",200.0,,low
yumyumdilli::jp-nagar,YumYumDilli,jp nagar,north indian,500.0,,low
smoke-oil-salt::btm,Smoke Oil Salt,btm,arabian,850.0,,medium
momo-king::bannerghatta-road,Momo King,bannerghatta road,"momos, fast food",200.0,,low
indulge-by-innerchef::jp-nagar,INDULGE by InnerChef,jp nagar,"desserts, bakery",400.0,,low
cafe-zuppa::jp-nagar,Cafe Zuppa,jp nagar,"cafe, pizza, fast food",450.0,,low
lyengar-s-cakes-n-cookies::bannerghatta-road,Lyengar's Cakes N Cookies,bannerghatta road,"bakery, desserts",400.0,,low
yumyumsouth::jp-nagar,YumYumSouth,jp nagar,south indian,600.0,,low
foreign-cafaaaaaaaaaaaaaaaa::jp-nagar,Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,jp nagar,continental,500.0,,low
lassi-shop::jp-nagar,Lassi Shop,jp nagar,"ice cream, beverages",80.0,,low
eatsomnia::jp-nagar,Eatsomnia,jp nagar,"north indian, south indian, chinese, continental",500.0,,low
the-kitchen::jp-nagar,The Kitchen,jp nagar,"north indian, andhra, chinese",800.0,,low
lassi-ghar::bannerghatta-road,Lassi Ghar,bannerghatta road,"beverages, ice cream, juices, sandwich",150.0,,low
authentic-aandhra::btm,Authentic Aandhra,btm,"andhra, north indian",300.0,,low
indian-desi-momo::bommanahalli,Indian Desi Momo,bommanahalli,momos,200.0,,low
supreme-biryani::south-bangalore,Supreme Biryani,south bangalore,biryani,400.0,,low
dilli::south-bangalore,Dilli ??,south bangalore,north indian,500.0,,low
the-london-shakes::btm,The London Shakes,btm,"beverages, fast food, italian",400.0,,low
namana-garden::bannerghatta-road,Namana Garden,bannerghatta road,"south indian, beverages",250.0,,low
momo-time::bannerghatta-road,Momo Time,bannerghatta road,"momos, american",600.0,,low
only-sharjah::btm,Only Sharjah,btm,beverages,200.0,,low
happy-eats::jp-nagar,Happy Eats,jp nagar,"north indian, continental",300.0,,low
gruhalakshmi-home-foods::bommanahalli,Gruhalakshmi Home Foods,bommanahalli,mithai,250.0,,low
beir::bannerghatta-road,BEIR,bannerghatta road,"mexican, american",800.0,,low
chaat-cafee::jp-nagar,Chaat Cafee,jp nagar,"street food, juices",150.0,,low
mr-cane::bommanahalli,Mr. Cane,bommanahalli,juices,100.0,,low
ruchi-foods::bannerghatta-road,Ruchi Foods,bannerghatta road,"south indian, biryani",400.0,,low
cookie-man::bannerghatta-road,Cookie Man,bannerghatta road,bakery,150.0,,low
petoo::btm,Petoo,btm,"north indian, fast food, beverages",400.0,,low
hungry-haters::jp-nagar,Hungry Haters,jp nagar,"chinese, north indian",300.0,,low
narayany-pure-veg::jp-nagar,Narayany Pure Veg,jp nagar,"street food, north indian",250.0,,low
gfc-biryani::btm,GFC Biryani,btm,biryani,300.0,,low
le-centre-jeunesse::bannerghatta-road,Le Centre Jeunesse,bannerghatta road,continental,400.0,,low
the-paratha-stories::jp-nagar,The Paratha Stories,jp nagar,north indian,250.0,,low
food-court::jp-nagar,Food Court,jp nagar,"north indian, chinese",300.0,,low
calvin-s::bommanahalli,Calvin's,bommanahalli,"desserts, italian, pizza",800.0,,low
yummy-momos::bannerghatta-road,Yummy Momos,bannerghatta road,"momos, tibetan, chinese",200.0,,low
cakeport::bannerghatta-road,Cakeport,bannerghatta road,bakery,400.0,,low
biryani-rooh-e-khaas::bannerghatta-road,Biryani Rooh-e-Khaas,bannerghatta road,"biryani, mughlai",400.0,,low
al-marhaba-restaurant::btm,Al-Marhaba Restaurant,btm,"arabian, chinese, north indian, rolls, momos",400.0,,low
heaven-2-oven::btm,Heaven 2 Oven,btm,chinese,300.0,,low
green-go::bannerghatta-road,Green Go,bannerghatta road,"beverages, juices",200.0,,low
northern-bites::bannerghatta-road,Northern Bites,bannerghatta road,"chinese, north indian, biryani",350.0,,low
punjabi-unplugged::bannerghatta-road,Punjabi Unplugged,bannerghatta road,north indian,500.0,,low
bangalore-pizza-pulse-juice-bar::bannerghatta-road,Bangalore Pizza & Pulse Juice Bar,bannerghatta road,"juices, pizza",500.0,,low
pizza-on-the-way::bannerghatta-road,Pizza On The Way,bannerghatta road,pizza,300.0,,low
food-times::jp-nagar,Food Times,jp nagar,"north indian, arabian",300.0,,low
goodness-beverages::btm,Goodness! Beverages,btm,beverages,250.0,,low
favourite-restaurant::jp-nagar,Favourite Restaurant,jp nagar,fast food,300.0,,low
one-kg::bannerghatta-road,One KG,bannerghatta road,"biryani, kebab",400.0,,low
4671-indian-coastal-cuisine::bannerghatta-road,4671 Indian Coastal Cuisine,bannerghatta road,"seafood, mangalorean, kerala",600.0,,low
bake-feast::bannerghatta-road,Bake Feast,bannerghatta road,bakery,300.0,,low
maruthi-bar-restaurant::bannerghatta-road,Maruthi Bar & Restaurant,bannerghatta road,"chinese, seafood",800.0,,low
kedia-s-fun-food::bannerghatta-road,Kedia's Fun Food,bannerghatta road,"north indian, street food, juices",200.0,,low
iyengar-s-cakes-and-cookies::bannerghatta-road,Iyengar's Cakes and Cookies,bannerghatta road,bakery,200.0,,low
just-bake::bannerghatta-road,Just Bake,bannerghatta road,"bakery, desserts",400.0,,low
goli-vada-pav-no-1::bannerghatta-road,Goli Vada Pav No 1,bannerghatta road,"street food, burger",150.0,,low
kitchen-king::bannerghatta-road,Kitchen King,bannerghatta road,"south indian, north indian, chinese",250.0,,low
gowdru-hatti-nati-style::bannerghatta-road,Gowdru Hatti Nati Style,bannerghatta road,"south indian, chinese, biryani",350.0,,low
moyass::bannerghatta-road,MOYASS,bannerghatta road,"south indian, kerala",600.0,,low
sapid::bannerghatta-road,Sapid,bannerghatta road,north indian,250.0,,low
