id,name,location,cuisine,avg_cost_for_two,rating,budget_band
imperial-restaurant::mysore-road,Imperial Restaurant,mysore road,"north indian, chinese, biryani, beverages",750.0,3.7,low
lassi-shop::kumaraswamy-layout,Lassi Shop,kumaraswamy layout,"beverages, juices, ice cream",150.0,3.9,low
the-fortuna::kumaraswamy-layout,The Fortuna,kumaraswamy layout,"north indian, chinese",250.0,3.0,low
wahab::jayanagar,Wahab,jayanagar,"north indian, mughlai, chinese",350.0,3.7,low
al-diwan-biryanis-and-more::basavanagudi,Al Diwan Biryanis And More,basavanagudi,biryani,300.0,3.3,low
new-gowda-s-fried-chicken::banashankari,New Gowda's Fried Chicken,banashankari,biryani,300.0,3.3,low
canton::jayanagar,Canton,jayanagar,"chinese, seafood, biryani",800.0,3.6,low
diabetics-dezire-sugarless-sweets-and-bakes::basavanagudi,Diabetics Dezire Sugarless Sweets and Bakes,basavanagudi,"desserts, mithai",300.0,3.3,low
the-blue-wagon---kitchen::jayanagar,The Blue Wagon - Kitchen,jayanagar,"cafe, beverages",400.0,4.6,low
hot-coffee::basavanagudi,HOT COFFEE,basavanagudi,"south indian, chinese",150.0,4.1,low
patio-805::jayanagar,Patio 805,jayanagar,"thai, vietnamese, asian, chinese",1200.0,4.1,medium
lassi-corner::basavanagudi,Lassi Corner,basavanagudi,"beverages, ice cream",150.0,3.7,low
sagar-deluxe::kumaraswamy-layout,Sagar Deluxe,kumaraswamy layout,"south indian, north indian, chinese, juices",300.0,3.2,low
kanti-sweets::banashankari,Kanti Sweets,banashankari,"mithai, street food",400.0,4.0,low
vegetalia::banashankari,Vegetalia,banashankari,"italian, pizza",400.0,3.7,low
aramane-donne-biryani::banashankari,Aramane Donne Biryani,banashankari,biryani,200.0,3.5,low
ande-ka-funda::banashankari,Ande Ka Funda,banashankari,"north indian, fast food, rolls",250.0,3.8,low
cake-ghar::basavanagudi,Cake Ghar,basavanagudi,bakery,400.0,3.8,low
energy-addaa::basavanagudi,Energy Addaa,basavanagudi,"salad, healthy food, sandwich, juices, burger, desserts, pizza",500.0,4.2,low
bhattara-bhojana::banashankari,Bhattara Bhojana,banashankari,south indian,150.0,3.6,low
tandoori-knight::banashankari,Tandoori Knight,banashankari,"north indian, chinese, biryani, kebab",450.0,3.0,low
dev-sagar---food-street::basavanagudi,Dev Sagar - Food Street,basavanagudi,street food,200.0,4.1,low
mitraa-da-pizza::kumaraswamy-layout,Mitraa Da Pizza,kumaraswamy layout,"fast food, pizza",250.0,3.8,low
